name,location,raw_status,license,upstream,verdict
docs-figures/figure-style,docs-figures,apache,apache-2.0 (header),inline,publish
docs-figures/infographics,docs-figures,unknown,?,?,"publish (library content, user-curated)"
docs-figures/latex-posters,docs-figures,unknown,?,?,"publish (library content, user-curated)"
docs-figures/markdown-mermaid-writing,docs-figures,apache,apache-2.0,SuperiorByteWorks-LLC/agent-project,publish
docs-figures/matplotlib,docs-figures,unknown,?,?,"publish (library content, user-curated)"
docs-figures/pptx-posters,docs-figures,mit,mit (header),inline,publish
docs-figures/scientific-schematics,docs-figures,mit,mit (header),inline,publish
docs-figures/scientific-slides,docs-figures,mit,mit (header),inline,publish
docs-figures/scientific-visualization,docs-figures,mit,mit (header),inline,publish
docs-figures/seaborn,docs-figures,unknown,?,?,"publish (library content, user-curated)"
autoskill,top,mit,mit,screenpipe/screenpipe,publish
credentials,top,own,self-authored or anthropic-ecosystem (mit),self / anthropics/skills,publish
docx,top,docx,mit-inferred,"anthropics/skills (MIT, inferred)",publish
find-skills,top,own,self-authored or anthropic-ecosystem (mit),self / anthropics/skills,publish
generate-image,top,generate-image,mit-inferred,"anthropics/skills (MIT, inferred)",publish
gov-adapt,top,unknown,?,?,"publish (library content, user-curated)"
gov-audit,top,unknown,?,?,"publish (library content, user-curated)"
gov-brainstorm,top,unknown,?,?,"publish (library content, user-curated)"
gov-discovery,top,unknown,?,?,"publish (library content, user-curated)"
gov-init,top,unknown,?,?,"publish (library content, user-curated)"
gov-plan,top,unknown,?,?,"publish (library content, user-curated)"
gov-release,top,unknown,?,?,"publish (library content, user-curated)"
gov-research,top,unknown,?,?,"publish (library content, user-curated)"
gov-review,top,unknown,?,?,"publish (library content, user-curated)"
gov-run,top,unknown,?,?,"publish (library content, user-curated)"
gov-status,top,unknown,?,?,"publish (library content, user-curated)"
gov-urd-draft,top,unknown,?,?,"publish (library content, user-curated)"
gov-urd-optimize,top,unknown,?,?,"publish (library content, user-curated)"
gov-vision,top,unknown,?,?,"publish (library content, user-curated)"
grill-me,top,mit,MIT (mattpocock/skills),mattpocock/skills,publish
grill-with-docs,top,mit,MIT (mattpocock/skills),mattpocock/skills,publish
grounded-build,top,own,self-authored or anthropic-ecosystem (mit),self / anthropics/skills,publish
omc-reference,top,own,self-authored or anthropic-ecosystem (mit),self / anthropics/skills,publish
pdf,top,pdf,mit-inferred,"anthropics/skills (MIT, inferred)",publish
pptx,top,pptx,mit-inferred,"anthropics/skills (MIT, inferred)",publish
product-self-knowledge,top,own,self-authored or anthropic-ecosystem (mit),self / anthropics/skills,publish
skill-creator,top,own,self-authored or anthropic-ecosystem (mit),self / anthropics/skills,publish
uv,top,own,self-authored or anthropic-ecosystem (mit),self / anthropics/skills,publish
workflow-skill-creator,top,own,self-authored or anthropic-ecosystem (mit),self / anthropics/skills,publish
xlsx,top,xlsx,mit-inferred,"anthropics/skills (MIT, inferred)",publish
roles/,roles,mit,mit,carloscuesta/gitmoji,publish
